seed,n,p,k,a,rho,niter,family,file1,file2,file3,file4
37,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
38,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
39,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
40,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
41,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
42,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
43,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
44,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
45,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
46,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
47,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
48,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
49,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
50,1000,200,50,10,0,1,poisson,elastic_configgaus_corr00.txt,elastic_fdpgaus_corr00.txt,elastic_selgaus_corr00.txt,elastic_truegaus_corr00.txt
1,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
2,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
3,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
4,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
5,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
6,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
7,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
8,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
9,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
10,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
11,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
12,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
